"","Date","Year","Month","Brand","Vehicle_Type_Group","Vehicle_Type","Model_Year","Fuel_Type","Gear","CCM","Horse_Power","Color","Body_Type","Seller","Seller_Status","Kilometers","Price"
"8012",2020-04-18,2020,"4","Fiat","Albea","Other",2010,"Diesel","Manual","1300 cc and below","Don't Know","Beige","Sedan","Galery","2nd Hand",210000,42750
"8013",2020-04-17,2020,"4","Mazda","323","1.5 1.5i",2000,"Gasoline","Automatic","1300 cc and below","Don't Know","Gray","Sedan","Galery","2nd Hand",255000,42750
"8014",2020-04-23,2020,"4","Renault","Megane","1.6 RTE",2000,"Gasoline","Manual","1301-1600 cc","101-125 HP","Silver Gray","Sedan","Owner","2nd Hand",275000,42750
"8015",2020-05-02,2020,"5","Renault","Symbol","1.5 DCi Authentique",2011,"Diesel","Manual","1301-1600 cc","100 HP and below","Silver Gray","Sedan","Galery","2nd Hand",155000,42750
"8016",2020-06-04,2020,"6","Acura","CL","2.2",1999,"Diesel","Manual","1801-2000 cc","101-125 HP","Dark Blue","Roadster","Galery","2nd Hand",320000,42500
"8017",2020-05-23,2020,"5","Audi","A4","1.6",2001,"Gasoline","Manual","1301-1600 cc","101-125 HP","White","Sedan","Galery","2nd Hand",300000,42500
"8018",2020-04-18,2020,"4","Chevrolet","Aveo","1.2 SX",2008,"Electricity","Manual","1300 cc and below","Don't Know","White","Hatchback 5 Doors","Galery","2nd Hand",110000,42500
"8019",2020-05-18,2020,"5","Dacia","Logan","1.4 Ambiance",2005,"Gasoline","Manual","1301-1600 cc","100 HP and below","Gray","Sedan","Owner","2nd Hand",98500,42500
"8020",2020-06-03,2020,"6","Fiat","Marea","1.6 SX",2002,"Gasoline","Manual","1301-1600 cc","101-125 HP","Silver Gray","Sedan","Owner","2nd Hand",152000,42500
"8021",2020-04-16,2020,"4","Ford","Focus","1.6 Ghia",2003,"Gasoline","Manual","1301-1600 cc","101-125 HP","Red","Hatchback 5 Doors","Galery","2nd Hand",220000,42500
"8022",2020-04-18,2020,"4","Ford","Fiesta","1.4 TDCi Comfort",2005,"Diesel","Manual","1301-1600 cc","Don't Know","White","Hatchback 5 Doors","Galery","2nd Hand",209000,42500
"8023",2020-04-18,2020,"4","Honda","Civic","1.6 i ES",2000,"Gasoline","Manual","1301-1600 cc","126-150 HP","Silver Gray","Sedan","Galery","2nd Hand",295000,42500
"8024",2020-04-12,2020,"4","Hyundai","Trajet","2.0 CRDi GLS",2001,"Diesel","Manual","1801-2000 cc","101-125 HP","Blue","MPV","Galery","2nd Hand",205000,42500
"8025",2020-06-12,2020,"6","Hyundai","Getz","1.3 GLS Auto",2005,"Gasoline","Automatic","1301-1600 cc","100 HP and below","Gray","Hatchback 5 Doors","Owner","2nd Hand",111000,42500
"8026",2020-05-28,2020,"5","Hyundai","Accent Era","1.5 CRDi Start",2008,"Diesel","Manual","1301-1600 cc","101-125 HP","White","Sedan","Galery","2nd Hand",176000,42500
"8027",2020-04-17,2020,"4","Hyundai","Accent Era","1.5 CRDi Mode",2010,"Diesel","Manual","1300 cc and below","Don't Know","Gray","Sedan","Galery","2nd Hand",266000,42500
"8028",2020-05-12,2020,"5","Jeep","Grand Cherokee","5.2 Limited",1994,"Gasoline","Automatic","5001-5500 cc","Don't Know","Black","Off-road Vehicle","Galery","2nd Hand",294000,42500
"8029",2020-06-14,2020,"6","Mercedes","200 E","200 E",1991,"Gasoline","Manual","1801-2000 cc","151-175 HP","Beige","Hatchback 5 Doors","Owner","2nd Hand",279000,42500
"8030",2020-06-11,2020,"6","Opel","Meriva","1.6 16V Essentia Easytronic",2005,"Gasoline","Automatic","1301-1600 cc","101-125 HP","Gray","Hatchback 5 Doors","Galery","Damaged",1111111,42500
"8031",2020-04-18,2020,"4","Peugeot","207","Other",2007,"Diesel","Manual","1301-1600 cc","Don't Know","White","Hatchback 5 Doors","Galery","2nd Hand",233000,42500
"8032",2020-05-11,2020,"5","Renault","Laguna","1.9 DCi Expression",2005,"Diesel","Manual","1801-2000 cc","101-125 HP","Gray","Sedan","Galery","2nd Hand",218,42500
"8033",2020-06-08,2020,"6","Ford","Mondeo","2.0 Ghia Auto",2003,"Gasoline","Automatic","1801-2000 cc","101-125 HP","Brown","Sedan","Galery","2nd Hand",229000,42400
"8034",2020-05-12,2020,"5","Ford","Mondeo","1.6 Ghia",2003,"Gasoline","Automatic","1801-2000 cc","126-150 HP","Honey","Sedan","Galery","2nd Hand",220000,42250
"8035",2020-05-09,2020,"5","Jeep","CJ-5","CJ-5",1959,"Diesel","Manual","2001-2500 cc","100 HP and below","Yellow","Off-road Vehicle","Owner","Classic",59000,42250
"8036",2020-05-09,2020,"5","Jeep","CJ-5","Other",1959,"Diesel","Manual","2001-2500 cc","100 HP and below","Yellow","Off-road Vehicle","Owner","Classic",59000,42250
"8037",2020-04-18,2020,"4","Chevrolet","Aveo","1.4 LT",2011,"Gasoline","Manual","1301-1600 cc","Don't Know","White","Sedan","Galery","2nd Hand",112000,42000
